country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Denmark,1925,0,0,0,0,0.0032038420251540925,-0.003048403149244665,-0.001749614766393748,-0.004623360381665816
Denmark,1926,0,0,0,0,-0.00013532744114706492,-0.0007294321811513399,0.017289716748295048,0.01322688593949782
Denmark,1927,0,0,0,0,0.007264474063152665,-0.0018387276258096412,0.012326031674952364,0.028877971926614787
Denmark,1928,0,0,0,0,0.006991065860806375,-0.002832767129430213,-0.004453594824591529,0.016631321205701488
Denmark,1929,0,0,0,0,0.005889530287571436,-0.011050264552527571,-0.0068758493266880966,-0.020681939355853877
Denmark,1930,0,0,0,0,0.004198274166858319,-0.007732652135965487,0.002081394786963402,0.00513946641178714
Denmark,1931,0,0,0,0,-0.002216091483128674,0.00741919992036252,-0.0058269986180652005,-6.490445856573678e-05
Denmark,1932,0,0,0,0,-0.001312478058356491,0.002389828970243895,-0.008905069443155837,-0.002179649489469717
Denmark,1933,0,0,0,0,0.011114570156137548,-0.01236353499404024,0.0017258056591568849,0.009081530533419622
Denmark,1934,0,0,0,0,0.007048204419647057,0.0006769892054756255,0.005637669736863716,0.0026029810517634554
Denmark,1935,0,0,0,0,-0.00027309372238513107,0.004045692283319988,-0.0025106151278754783,0.0019339737577330671
Denmark,1936,0,0,0,0,-0.003218254034718284,-0.00028448218363966073,-0.008312438461368013,-0.0029168687211729386
Denmark,1937,0,0,0,0,0.004625718562733101,-0.0011204951116973224,0.0014268320086812153,0.009761376973299887
Denmark,1938,0,0,0,0,0.00293353257806535,0.0015309786167962201,0.003909675336189239,0.009721101759571592
Denmark,1939,0,0,0,0,0.011098765593165904,-0.014561073786382146,0.01096388199816148,0.015727089997936275
Denmark,1940,0,0,0,0,0.001080692146255338,-0.0029737928658038083,-0.0040367484627784325,0.0026435640206918555
Denmark,1941,0,0,0,0,0.0021540537026490184,-0.009480525920824035,0.003401143539438578,0.004891144001224347
Denmark,1942,0,0,0,0,0.005974666460859337,-0.0076779584944205205,-0.008638624244061517,0.006441739838371547
Denmark,1943,0,0,0,0,-0.014631770017109755,0.019703364027639086,-0.004897972585309203,-0.014623850156051946
Denmark,1944,0,0,0,0,-0.007077009610097719,0.010996152102533598,-0.009353730151475816,-0.009196809717627239
Denmark,1945,0,0,0,0,0.005767153652332229,-0.00036614255698042344,-0.0060442924175002,-0.001024220269992846
Denmark,1946,0,0,0,0,-0.0014751073808864394,0.0128958554897573,-0.002914217023989169,-0.013622131779886821
Denmark,1953,0,0,0,0,0.0009154323728300389,0.004388893787127903,0.003838034304813707,-0.003453636618220118
Denmark,1954,0,0,0,0,-0.006693533719864143,0.003697652975322256,0.008951604651320704,-0.0016775291383457243
Denmark,1955,0,0,0,0,0.0012909763784696284,-0.005030367170945191,-0.00541596522354365,0.014894918549381634
Denmark,1956,0,0,0,0,0.0022633572944484462,-0.007267178027664705,-0.0025735055250183407,0.008406630465016492
Denmark,1960,0,0,0,0,0.00640138792624124,-0.009304313513711793,0.0034134037300321933,0.015645273291272032
Denmark,1961,0,0,0,0,-0.004100444282324447,-0.004279408512551276,-0.008423805325487933,0.004091373709374939
Denmark,1962,0,0,0,0,7.890640806604884e-05,0.004526861672050923,0.0031430892680958714,0.006272988503404029
Denmark,1963,0,0,0,0,-0.011548070791223327,0.011613562282302814,-0.016700278910785044,-0.004926270466854839
Denmark,1964,0,0,0,0,0.003573527686762984,-0.008622631231621507,0.006036861693974253,0.008892644311242735
Denmark,1965,0,0,0,0,-0.0023776575125708495,0.0011118857909208774,-0.0030159299361282826,-0.001783873903256094
